26,002670,国盛金控,详情 数据 股吧,10.58,1.54%,1198.75万,5.07%,282.98万,1.20%,915.76万,3.88%,-502.60万,-2.13%,-696.15万,-2.95%,券商信托
27,601555,东吴证券,详情 数据 股吧,8.62,1.17%,1113.10万,3.36%,-396.10万,-1.20%,1509.19万,4.56%,-397.31万,-1.20%,-715.79万,-2.16%,券商信托
28,600369,西南证券,详情 数据 股吧,4.79,0.84%,992.76万,4.59%,-66.87万,-0.31%,1059.63万,4.90%,-388.65万,-1.80%,-604.11万,-2.79%,券商信托
29,002736,国信证券,详情 数据 股吧,11.63,0.95%,886.70万,3.72%,980.61万,4.11%,-93.90万,-0.39%,82.25万,0.34%,-968.96万,-4.06%,券商信托
30,000166,申万宏源,详情 数据 股吧,4.50,0.90%,759.49万,3.18%,1114.95万,4.66%,-355.46万,-1.49%,-593.67万,-2.48%,-165.83万,-0.69%,券商信托
31,002500,山西证券,详情 数据 股吧,7.39,1.09%,726.70万,4.11%,214.53万,1.21%,512.17万,2.90%,-541.72万,-3.07%,-184.98万,-1.05%,券商信托
32,000750,国海证券,详情 数据 股吧,4.42,1.38%,239.36万,0.54%,602.01万,1.35%,-362.65万,-0.81%,689.50万,1.55%,-928.86万,-2.09%,券商信托
33,601198,东兴证券,详情 数据 股吧,11.73,0.77%,210.00万,0.79%,-488.92万,-1.84%,698.92万,2.63%,242.73万,0.91%,-452.74万,-1.70%,券商信托
34,002945,华林证券,详情 数据 股吧,13.20,0.76%,182.22万,0.61%,103.43万,0.35%,78.79万,0.26%,-645.11万,-2.16%,462.89万,1.55%,券商信托
35,000686,东北证券,详情 数据 股吧,8.33,1.22%,21.17万,0.08%,192.10万,0.70%,-170.93万,-0.62%,117.02万,0.43%,-138.18万,-0.50%,券商信托
36,601696,中银证券,详情 数据 股吧,-,-,-,-,-,-,-,-,-,-,-,-,券商信托
37,002939,长城证券,详情 数据 股吧,12.58,1.04%,-73.27万,-0.10%,-58.24万,-0.08%,-15.04万,-0.02%,-1145.24万,-1.59%,1218.51万,1.69%,券商信托
