
2.77%,0.88%,99.97%,3.25,31.16%,0.03次,69.22%,7.00亿,22.5亿,22.5亿,809亿,560亿,809亿,27.1亿,13.5亿,--,--,22.5亿,--,--,166亿,--,4715万,-1.47亿,2872万,--,--,--,693万,1.75亿,--,--,27.9亿,1.21亿,6.02亿,--,--,--,--,--,-161万,--,--,13.0亿,3.00亿,--,7873万,--,--,券商信托000728
5.19%,1.42%,94.46%,3.73,33.65%,0.04次,73.23%,69.3亿,206亿,206亿,5370亿,3932亿,5370亿,263亿,103亿,--,--,206亿,--,--,1137亿,--,23.0亿,7.38亿,9738万,--,--,--,2694万,19.8亿,--,--,28.0亿,5.81亿,49.0亿,--,--,--,--,--,2959万,--,--,34.1亿,9.57亿,--,13.3亿,--,--,券商信托601211
5.83%,1.48%,99.27%,4.15,36.55%,0.04次,75.89%,64.9亿,177亿,177亿,5105亿,3874亿,5105亿,259亿,99.0亿,--,--,177亿,--,--,1036亿,--,56.9亿,21.8亿,1.14亿,--,--,--,1521万,19.6亿,--,--,152亿,23.5亿,59.2亿,35.9万,--,--,5.20亿,--,1626万,--,--,35.9亿,1.73亿,--,8394万,--,--,券商信托601688
5.06%,1.11%,100.00%,4.85,17.26%,0.06次,79.39%,7.09亿,41.1亿,41.1亿,712亿,566亿,712亿,51.8亿,18.0亿,--,--,41.1亿,--,--,192亿,--,7513万,1.84亿,1940万,--,--,--,369万,2.40亿,--,--,1.02亿,1985万,8.81亿,--,--,--,--,--,446万,--,--,8.88亿,2.71亿,--,--,--,--,券商信托601878
2.16%,0.80%,97.47%,2.80,17.99%,0.04次,64.33%,3.33亿,18.5亿,18.5亿,425亿,273亿,425亿,27.3亿,14.0亿,318亿,107亿,18.5亿,2132万,12.3亿,62.4亿,--,1.14亿,2.45亿,1706万,--,--,--,741万,1.33亿,2095万,1.65亿,7401万,36.4亿,6.30亿,--,82.6万,238万,--,2102万,383万,12.1亿,--,3.56亿,2.30亿,2204万,3248万,--,5.33亿,券商信托600155
-2.80%,-1.13%,99.75%,2.32,-65.46%,0.02次,56.84%,-3.46亿,5.29亿,5.29亿,298亿,169亿,298亿,5.19亿,1.52亿,135亿,163亿,5.29亿,--,--,6.19万,--,543万,4914万,489万,--,--,--,1.40亿,-1.37亿,--,--,6.16亿,--,-1.98亿,--,--,2008万,--,1237万,68.4万,--,9.06亿,974万,11.8亿,--,1197万,--,45.0亿,券商信托600816
6.55%,1.68%,87.38%,4.24,34.25%,0.05次,76.40%,28.1亿,82.1亿,82.1亿,1801亿,1376亿,1801亿,111亿,54.8亿,1517亿,284亿,82.1亿,5.92亿,38.3亿,461亿,--,7.54亿,24.1亿,4158万,--,--,--,555万,9.69亿,1.90亿,4.11亿,21.0亿,46.3亿,4.35亿,--,--,1.65亿,5753万,6599万,4379万,36.4亿,--,2.99亿,8.47亿,1539万,5.06亿,5455万,13.2亿,券商信托600061
6.27%,1.43%,99.68%,4.45,37.51%,0.04次,77.55%,48.4亿,129亿,129亿,3720亿,2885亿,3720亿,177亿,68.7亿,--,--,129亿,--,--,611亿,--,4.42亿,14.1亿,6899万,--,--,--,980万,10.5亿,--,--,86.4亿,967万,33.8亿,--,--,--,--,--,3023万,--,--,14.7亿,9.88亿,--,8396万,--,--,券商信托600999
3.98%,1.14%,92.69%,3.16,30.74%,0.04次,68.39%,4.32亿,14.1亿,14.1亿,334亿,228亿,334亿,26.3亿,10.2亿,--,--,14.1亿,--,--,55.6亿,--,5627万,6.27亿,965万,--,--,--,329万,1.54亿,--,--,7.21亿,--,5.95亿,--,--,--,--,--,117万,--,--,2.54亿,4.37亿,--,--,--,--,券商信托601099
4.70%,1.15%,95.78%,4.05,28.00%,0.04次,75.29%,23.7亿,84.5亿,84.5亿,2057亿,1549亿,2057亿,110亿,55.7亿,--,--,84.5亿,--,--,568亿,--,3.32亿,11.2亿,4614万,--,--,--,100万,7.36亿,--,--,11.0亿,13.0亿,13.8亿,--,--,--,--,6867万,3.24亿,--,--,8.45亿,10.2亿,--,2317万,--,--,券商信托601788
